Po,8,8.5,Elektronický marketing (1),Cvi?ení,Q27,Mokrý Stanislav,,24
Po,8,9.5,Pracovní právo (1),P?ednáška,Q35,Mervartová Jana,,30
Po,9,10.5,"Databázové systémy I (1,2)",P?ednáška,Q03,Tur?ínek Pavel,,170
Po,9,10.5,"Diplomní seminá? (1,3,4)",P?ednáška,Q01,Farana Radim,,361
Po,9,10.5,Informa?ní systémy finan?ních institucí (1),P?ednáška,Q15,Rábová Ivana,,60
Po,9,10.5,Informatika pro ekonomy I (9),P?ednáška,Q01,?a?ková Petra,,700
Po,9,10.5,Informatika pro ekonomy II (1),P?ednáška,Q22,Rybi?ka Ji?í,,70
Po,9,10.5,"Integrovaný management (1,14)",P?ednáška,Q43,Chládková Helena,,64
Po,9,10.5,"Marketing II v AJ (1,17,18)",P?ednáška,Q38,Hazuchová Na?a,,48
Po,9,10.5,"Mobilní aplikace v AJ (1,16)",P?ednáška,Q12,Landa Jaromír,,19
Po,9,10.5,Personalistika v AJ (1),P?ednáška,Q23,Stojanová Hana,,51
Po,9,10.5,"Ú?etnictví a dan? v CR (1,20)",P?ednáška,Q33,Svoboda Patrik,,48
Po,9,10.5,"Ú?etní software (1,4)",P?ednáška,Q02,Grásgruber Miloš,,170
Po,9,9.5,Elektronický marketing (1),Cvi?ení,Q27,Mokrý Stanislav,,24
Po,9,9.5,Hospodá?ská politika I (1),Cvi?ení,Q48,Franc Aleš,,30
Po,9,9.5,Makroekonomie I (1),Cvi?ení,Q32,Mádr Michal,,30
Po,9,9.5,Marketing I (1),Cvi?ení,Q28,Melichar Ond?ej,,24
Po,9,10.5,Matematika I (1),Cvi?ení,Q31,Blašková Veronika,,25
Po,9,10.5,Obchodní jazyk - angli?tina (1),Cvi?ení,Q01.84,Lahodová Marie,,25
Po,9,10.5,Opera?ní výzkum (1),Cvi?ení,Q36,?ampulová Martina,,24
Po,9,9.5,Podniková ekonomika I (1),Cvi?ení,Q41,Melicharová Alena,,30
Po,9,10.5,Podnikové finance (1),Cvi?ení,Q44,Ševela Marcel,,30
Po,9,10.5,?ízení dodavatelsko-odb?ratelských vztah? (11),Cvi?ení,Q13,Veselá Lucie,,30
Po,9,10.5,Um?lá inteligence I (1),Cvi?ení,Q05,Ondroušek Vít,,22
Po,9,10.5,Zpracování text? na po?íta?i (1),Cvi?ení,Q06,Haluza Pavel,,22
Po,10,10.5,"IS/ICT v AJ (1,15)",P?ednáška,Q16,Da?ena František,,80
Po,10,10.5,Elektronický marketing (1),Cvi?ení,Q27,Mokrý Stanislav,,24
Po,10,10.5,Hospodá?ská politika I (1),Cvi?ení,Q48,Franc Aleš,,30
Po,10,10.5,Makroekonomie I (1),Cvi?ení,Q32,Mádr Michal,,30
Po,10,10.5,Marketing I (1),Cvi?ení,Q28,Melichar Ond?ej,,24
Po,10,10.5,Podniková ekonomika I (1),Cvi?ení,Q41,Melicharová Alena,1b-(ei31|1-3),30
Po,10,10.5,Pracovní právo (1),Cvi?ení,Q35,Mervartová Jana,,30
Po,11,12.5,Ekonomika podnikových proces? (1),P?ednáška,Q32,Vav?ina Jan,,48
Po,11,12.5,"Matematika II (1,5)",P?ednáška,Q01,?íhová Dana,,722
Po,11,12.5,Matematika II (1),P?ednáška,Q01,Hampel David,,
Po,11,12.5,"Softwarové inženýrství II (10,11)",P?ednáška,Q16,Kolomazník Jan,,80
Po,11,12.5,Teoretické základy informatiky (1),P?ednáška,Q22,Haluza Pavel,1b-(ei31|ii|si|2),25
Po,11,12.5,"Excel (1,4)",Cvi?ení,Q05,?a?ková Petra,,22
Po,11,12.5,"Excel (1,4)",Cvi?ení,Q06,Bresti?ová Ludmila,,22
Po,11,11.5,Personalistika v AJ (1),Cvi?ení,Q23,Stojanová Hana,,51
Po,11,12.5,Informatika pro ekonomy I (9),Cvi?ení,Q05,?a?ková Petra,,23
Po,11,12.5,Informatika pro ekonomy I (9),Cvi?ení,Q06,Bresti?ová Ludmila,,23
Po,11,12.5,Makroekonomická analýza (1),Cvi?ení,Q26,Litzman Marek,,30
Po,11,12.5,"Marketing II v AJ (1,13,17)",Cvi?ení,Q38,Hazuchová Na?a,,48
Po,11,12.5,Matematika I (1),Cvi?ení,Q31,Blašková Veronika,"1b-(me32|1,2)",25
Po,11,12.5,Mediální strategie (1),Cvi?ení,Q27,Tur?ínková Jana,,24
Po,11,12.5,"Mezinárodní finance (1,22)",Cvi?ení,Q34,Koráb Petr,,24
Po,11,12.5,Mezinárodní ú?etní standardy (1),Cvi?ení,Q28,Habanec Petr,,30
Po,11,12.5,"Mobilní aplikace v AJ (1,16)",Cvi?ení,Q12,Landa Jaromír,,19
Po,11,12.5,Obchodní jazyk - angli?tina (1),Cvi?ení,Q44,Lahodová Marie,,25
Po,11,12.5,Obchodní operace I (11),Cvi?ení,Q13,Záboj Marek,,30
Po,11,12.5,"Obchodní operace I (1,13)",Cvi?ení,Q13,Záboj Marek,,30
Po,11,12.5,"Opera?ní management (1,13)",Cvi?ení,Q14,Ku?erová Renata,,30
Po,11,12.5,Opera?ní management (11),Cvi?ení,Q14,Ku?erová Renata,,30
Po,11,12.5,Opera?ní systémy (1),Cvi?ení,Q47,Kunderová Ludmila,,20
Po,11,12.5,Opera?ní výzkum (1),Cvi?ení,Q36,?ampulová Martina,,25
Po,11,12.5,Sv?tový jazyk - Špan?lština 2 (1),Cvi?ení,Q01.84,Kocmánková Markéta,,22
Po,11,12.5,Výpo?etní technika a algoritmizace II (1),Cvi?ení,Q08,Tur?ínek Pavel,,22
