Út,9,10;5,"Sociologie a sociální psychologie (13,39)",Cvi?ení,Q35,Abramuszkinová Pavlíková Eva
Út,9,10;5,"Sociologie a sociální psychologie (11,36)",Cvi?ení,Q35,Abramuszkinová Pavlíková Eva
Út,14,15;5,"EU a global governance (26,32)",P?ednáška,Q45,Abramuszkinová Pavlíková Eva
Út,16,16;5,"EU a global governance (26,32)",Cvi?ení,Q45,Abramuszkinová Pavlíková Eva
St,13,14;5,Sociologie a sociální psychologie (60),P?ednáška,Q02,Abramuszkinová Pavlíková Eva
St,15,16;5,Sociologie a sociální psychologie (11),Cvi?ení,Q35,Abramuszkinová Pavlíková Eva
St,15,16;5,Sociologie a sociální psychologie (13),Cvi?ení,Q35,Abramuszkinová Pavlíková Eva
?t,15,16;5,Sociologie a sociální psychologie (13),Cvi?ení,Q31,Abramuszkinová Pavlíková Eva
Po,15,16;5,Aplikované statistické metody (1),P?ednáška,Q22,Adamec Václav
Út,8,8;5,Ekonometrie I v AJ (26),P?ednáška,Q23,Adamec Václav
?t,7,8;5,Aplikované statistické metody,Cvi?ení,Q36,Adamec Václav
?t,11,12;5,Aplikované statistické metody,Cvi?ení,Q36,Adamec Václav
Pá,9,10;5,Ekonometrie I v AJ (79),Cvi?ení,Q37,Adamec Václav
Pá,11,12;5,Ekonometrie I v AJ (79),Cvi?ení,Q37,Adamec Václav
Út,10,12;5,Ú?etní software (26),Cvi?ení,Q26,Andrlík B?etislav
Út,7,8;5,"Po?íta?ové sít? I (26,30)",P?ednáška,Q01.48,Balej Ji?í
Út,11,12;5,"Inovace pro informatiky (26,47)",Cvi?ení,Q01.48,Balej Ji?í
Út,13,14;5,Excel (4),Cvi?ení,Q05,Balej Ji?í
Út,13,14;5,"Informatika pro ekonomy I (9,26)",Cvi?ení,Q05,Balej Ji?í
St,7,8;5,Inovace pro informatiky (47),Cvi?ení,Q01.48,Balej Ji?í
St,9,10;5,Inovace pro informatiky (47),Cvi?ení,Q01.48,Balej Ji?í
St,13,14;5,Excel (4),Cvi?ení,Q09,Balej Ji?í
St,13,14;5,Informatika pro ekonomy I (9),Cvi?ení,Q09,Balej Ji?í
?t,9,10;5,Excel (4),Cvi?ení,Q05,Balej Ji?í
?t,9,10;5,Informatika pro ekonomy I (9),Cvi?ení,Q05,Balej Ji?í
?t,11,12;5,Excel (4),Cvi?ení,Q05,Balej Ji?í
?t,11,12;5,Informatika pro ekonomy I (9),Cvi?ení,Q05,Balej Ji?í
?t,13,14;5,Po?íta?ové sít? I (30),P?ednáška,Q01.48,Balej Ji?í
Pá,11,12;5,"Excel (4,79)",Cvi?ení,Q05,Balej Ji?í
Pá,11,12;5,Informatika pro ekonomy I (9),Cvi?ení,Q05,Balej Ji?í
St,11,12;5,Hodnocení výkonnosti podniku (11),Cvi?ení,Q44,Basovníková Marcela
St,11,12;5,Hodnocení výkonnosti podniku (13),Cvi?ení,Q44,Basovníková Marcela
St,15,16;5,Hodnocení výkonnosti podniku (54),P?ednáška,Q16,Basovníková Marcela
St,17,18;5,Hodnocení výkonnosti podniku (11),Cvi?ení,Q44,Basovníková Marcela
St,17,18;5,Hodnocení výkonnosti podniku (13),Cvi?ení,Q44,Basovníková Marcela
?t,9,10;5,Podnikové finance,Cvi?ení,Q46,Basovníková Marcela
?t,11,12;5,Podnikové finance,Cvi?ení,Q46,Basovníková Marcela
?t,13,14;5,Podnikové finance,Cvi?ení,Q46,Basovníková Marcela
Út,12,12;5,"Sociální analýza (26,48)",Cvi?ení,Q33,Bédiová Monika
?t,15,16;5,Sociologie a sociální psychologie (11),Cvi?ení,Q31,Bédiová Monika
Po,9,10;5,Matematika I (1),Cvi?ení,Q31,Blašková Veronika
Po,11,12;5,Matematika I (1),Cvi?ení,Q31,Blašková Veronika
Út,8,9;5,Systémy oficiální statistiky (26),P?ednáška,Q36,Blašková Veronika
Út,10,10;5,Systémy oficiální statistiky (26),Cvi?ení,Q36,Blašková Veronika
?t,7,8;5,Matematika I,Cvi?ení,Q32,Blašková Veronika
Út,13,14;5,Ekonometrie I (26),Cvi?ení,Q37,Bobošová Terézia
St,9,10;5,Ekonometrie I,Cvi?ení,Q37,Bobošová Terézia
St,11,12;5,Ekonometrie I,Cvi?ení,Q37,Bobošová Terézia
?t,9,10;5,Ekonometrie I,Cvi?ení,Q37,Bobošová Terézia
?t,11,12;5,Ekonometrie I,Cvi?ení,Q37,Bobošová Terézia
Út,9,10;5,Mezinárodní ú?etní standardy v AJ (26),P?ednáška,Q25,Bohušová Hana
Út,11,12;5,Mezinárodní ú?etní standardy v AJ (26),Cvi?ení,Q25,Bohušová Hana
St,11,12;5,Sv?tový jazyk - N?m?ina 1,Cvi?ení,Q45,Branná Lucie
St,13,14;5,Sv?tový jazyk - N?m?ina 1,Cvi?ení,Q45,Branná Lucie
?t,13,14;5,Sv?tový jazyk - N?m?ina 2,Cvi?ení,Q38,Branná Lucie
Po,11,12;5,"Excel (1,4)",Cvi?ení,Q06,Bresti?ová Ludmila
Po,11,12;5,Informatika pro ekonomy I (9),Cvi?ení,Q06,Bresti?ová Ludmila
Po,15,16;5,"Excel (1,4)",Cvi?ení,Q06,Bresti?ová Ludmila
